"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)",Phosphorus,STATION,LATITUDE,LONGITUDE
93,270,0.012,1.03,61.1,0.49,6008000702,43.67833164,-79.67950823
119,240,0.072,0.51,16.5,0.47,6008000702,43.67833164,-79.67950823
109,110,0.12,0.3,0.9,0.13,6008000702,43.67833164,-79.67950823
106.2,200,0.048,0.58,2.1,0.29,6008000702,43.67833164,-79.67950823
114.6,120,0.011,0.61,11.4,0.45,6008000702,43.67833164,-79.67950823
130.1,360,0.004,0.65,2,0.29,6008000702,43.67833164,-79.67950823
124.2,210,0.006,0.4,4.2,0.3,6008000702,43.67833164,-79.67950823
106.7,220,0.011,0.46,7,0.46,6008000702,43.67833164,-79.67950823
110.2,340,0.014,0.51,50.3,0.47,6008000702,43.67833164,-79.67950823
116.3,110,0.099,0.58,4.5,0.34,6008000702,43.67833164,-79.67950823
102.8,-99,0.065,0.39,5.6,0.43,6008000702,43.67833164,-79.67950823
113.8,270,0.011,0.56,2.9,0.32,6008000702,43.67833164,-79.67950823
95.1,700,0.029,1.51,12.4,0.48,6008000702,43.67833164,-79.67950823
109.3,235,0.005,0.28,9.6,0.47,6008000702,43.67833164,-79.67950823
118,330,0.039,0.44,3.1,0.29,6008000702,43.67833164,-79.67950823
123.4,300,0.028,0.73,9.1,0.48,6008000702,43.67833164,-79.67950823
112.3,330,0.015,1.4,49.7,0.5,6008000702,43.67833164,-79.67950823
89.9,210,0.113,0.24,1.8,0.16,6008000702,43.67833164,-79.67950823
104,140,0.087,0.34,9.3,0.47,6008000702,43.67833164,-79.67950823
92.7,330,0.007,2.33,583,0.52,6008000702,43.67833164,-79.67950823
120.2,210,0.031,0.41,11.9,0.45,6008000702,43.67833164,-79.67950823
113,240,0.016,0.41,2.3,0.21,6008000702,43.67833164,-79.67950823
151.1,230,0.03,0.47,6.1,0.45,6008000702,43.67833164,-79.67950823
140.7,90,0.038,0.42,5.3,0.43,6008000702,43.67833164,-79.67950823
167.4,155,0.004,0.62,13.3,0.47,6008000702,43.67833164,-79.67950823
110.8,210,0.019,1.83,12.7,0.51,6008000702,43.67833164,-79.67950823
118.1,375,0.009,0.32,14.8,0.47,6008000702,43.67833164,-79.67950823
126.9,150,0.035,0.33,3.2,0.29,6008000702,43.67833164,-79.67950823
98.7,170,0.026,2.35,794,0.52,6008000702,43.67833164,-79.67950823
