"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)"
135.8,120.0,0.103,1.0,8.5
188.4,145.0,0.011,0.95,11.3
138.1,140.0,0.011,1.18,26.0
122.0,270.0,0.046,1.9,56.0
107.0,150.0,0.017,0.52,31.3
90.9,130.0,0.011,1.53,34.0
100.0,230.0,0.088,1.34,105.0
84.0,140.0,0.009,1.13,47.0
75.8,195.0,0.011,1.7,27.0
154.8,95.0,0.006,1.77,15.6
92.8,170.0,0.013,1.55,42.0
127.0,100.0,0.008,1.21,21.0
92.1,185.0,0.011,1.39,53.0
119.1,125.0,0.032,0.9,51.0
88.0,235.0,0.042,1.4,49.0
146.0,140.0,0.014,1.25,27.5
150.0,165.0,0.025,1.41,11.0
62.4,220.0,0.004,0.92,20.0
154.5,150.0,0.019,0.78,10.8
83.4,125.0,0.012,0.95,11.7
102.0,160.0,0.002,0.77,9.1
106.8,340.0,0.011,2.0,26.0
101.6,220.0,0.01,0.95,30.4
92.4,235.0,0.011,1.26,84.0
136.0,100.0,0.009,0.65,18.0
99.6,230.0,0.013,1.25,46.3
116.0,120.0,0.011,0.87,38.0
95.4,190.0,0.025,1.0,11.0
116.0,95.0,0.012,1.23,37.0
98.4,230.0,0.011,1.77,43.0
95.0,300.0,0.017,1.16,62.0
103.0,210.0,0.015,0.8,12.0
112.7,160.0,0.002,0.63,10.2
105.0,100.0,0.015,1.056,24.0
110.7,230.0,0.005,0.81,12.4
98.7,170.0,0.011,0.77,7.0
105.0,120.0,0.003,0.91,17.1
86.5,180.0,0.011,1.08,9.0
76.7,265.0,0.011,0.81,10.0
109.8,85.0,0.023,0.86,33.1
71.4,200.0,0.012,0.99,63.0
71.0,90.0,0.011,1.03,22.0
137.4,50.0,0.023,0.68,26.2
103.0,140.0,0.019,1.22,38.6
95.3,100.0,0.011,1.1,7.0
100.5,185.0,0.011,1.19,17.0
106.0,680.0,0.006,0.57,6.0
94.9,280.0,0.008,0.39,4.5
105.3,320.0,0.011,0.5,2.0
90.3,300.0,0.022,0.89,26.0
115.8,240.0,0.003,0.42,4.6
148.0,190.0,0.006,0.15,5.3
129.0,185.0,0.011,0.52,3.2
87.0,290.0,0.004,0.18,12.0
120.5,260.0,0.02,0.38,6.4
96.6,350.0,0.034,1.68,188.0
100.1,320.0,0.011,0.72,33.0
129.0,310.0,0.008,1.464,36.0
105.0,210.0,0.006,0.34,5.8
122.0,245.0,0.012,0.5,9.0
80.0,360.0,0.004,1.1,190.0
106.7,220.0,0.004,0.46,7.0
99.3,190.0,0.011,0.32,2.0
115.0,250.0,0.002,0.28,2.0
111.0,195.0,0.003,0.1,2.0
93.4,180.0,0.011,0.54,5.0
100.0,105.0,0.005,0.74,36.0
130.3,240.0,0.002,0.46,6.0
114.4,285.0,0.003,0.23,8.6
96.8,135.0,0.011,0.71,2.0
129.1,335.0,0.01,0.62,45.1
93.8,150.0,0.011,0.81,3.0
118.7,170.0,0.005,0.41,7.7
113.0,220.0,0.003,0.41,5.1
119.0,100.0,0.003,0.39,3.6
103.0,390.0,0.017,1.19,93.0
134.6,240.0,0.002,0.45,4.2
102.4,275.0,0.003,0.3,2.8
98.3,240.0,0.011,0.54,2.0
123.0,275.0,0.001,0.36,0.9
99.3,140.0,0.011,0.82,6.0
101.0,240.0,0.005,0.5,5.0
114.0,275.0,0.006,0.583,8.0
104.1,235.0,0.003,0.59,6.1
89.9,210.0,0.002,0.24,1.8
104.9,140.0,0.011,0.2,2.0
99.6,220.0,0.011,0.62,2.0
110.6,200.0,0.011,0.28,2.0
121.0,150.0,0.019,0.6,12.0
109.0,125.0,0.018,0.41,4.0
114.1,275.0,0.007,0.44,8.1
112.0,255.0,0.02,1.17,59.0
98.7,230.0,0.011,0.64,155.0
107.0,240.0,0.008,0.7,9.0
100.0,280.0,0.063,0.58,63.0
107.0,125.0,0.03,0.58,3.0
112.4,190.0,0.004,0.43,10.3
95.8,235.0,0.011,0.57,2.0
101.5,240.0,0.022,0.52,2.0
134.2,590.0,0.007,0.5,40.4
104.0,205.0,0.005,0.4,5.2
102.3,250.0,0.009,0.25,2.0
124.4,365.0,0.008,0.41,45.5
111.7,400.0,0.001,0.43,3.5
95.8,85.0,0.011,0.7,29.0
122.1,280.0,0.008,0.34,3.5
143.4,120.0,0.011,0.42,11.0
127.4,450.0,0.026,2.55,316.0
116.8,230.0,0.004,0.34,2.6
98.8,260.0,0.015,0.9,22.0
108.3,295.0,0.008,0.32,2.9
117.5,350.0,0.018,0.65,6.3
125.0,240.0,0.005,0.478,9.0
106.0,210.0,0.011,0.48,2.0
119.0,340.0,0.006,0.72,3.0
125.3,155.0,0.01,0.41,4.8
113.1,150.0,0.011,0.71,13.0
116.0,160.0,0.007,0.08,8.0
94.0,320.0,0.014,1.54,10.0
103.7,350.0,0.011,0.92,124.0
115.6,260.0,0.003,0.47,20.2
110.2,340.0,0.011,0.51,50.3
101.0,235.0,0.01,0.57,4.0
98.1,250.0,0.011,0.65,17.0
98.7,140.0,0.011,0.32,5.0
111.6,325.0,0.004,0.53,36.8
114.1,430.0,0.01,0.71,146.0
129.0,210.0,0.016,1.172,23.0
105.0,200.0,0.001,0.54,29.0
119.8,290.0,0.008,0.5,87.2
154.9,310.0,0.006,0.61,51.2
96.4,200.0,0.011,0.89,64.0
111.4,260.0,0.002,0.28,10.0
118.0,320.0,0.005,0.62,65.2
119.5,320.0,0.004,0.45,16.5
100.3,260.0,0.011,0.5,5.0
112.0,200.0,0.006,0.51,2.0
101.0,250.0,0.002,0.21,38.0
135.0,410.0,0.008,0.76,113.0
115.0,260.0,0.007,0.81,31.0
118.1,200.0,0.003,0.46,13.2
152.1,265.0,0.002,0.54,26.4
97.4,400.0,0.011,0.89,236.0
96.6,450.0,0.013,1.65,136.0
98.1,250.0,0.011,0.45,7.0
120.4,150.0,0.011,1.02,71.0
94.6,290.0,0.011,0.75,27.0
100.4,225.0,0.011,0.41,9.0
99.0,420.0,0.006,2.193,15.0
105.0,530.0,0.008,1.06,171.0
100.9,250.0,0.011,0.6,10.0
114.9,220.0,0.001,0.45,3.8
118.0,160.0,0.005,0.49,11.9
