"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)",Phosphorus
119.4,250.0,0.037,0.3,6.8,0.45837299999999526
110.0,110.0,0.009,0.44,5.1,0.38225199999999876
135.2,330.0,0.003,0.49,18.0,0.4710659999999959
113.2,195.0,0.015,0.35,26.4,0.4668219999999963
134.4,165.0,0.016,0.36,9.2,0.4741449999999946
110.9,350.0,0.005,0.96,34.3,0.49057099999999587
118.0,260.0,0.015,0.34,3.4,0.2860140000000017
121.8,305.0,0.045,0.56,22.3,0.47329899999999575
155.5,180.0,0.018,0.5,3.3,0.3011500000000002
127.1,380.0,0.01,0.66,40.4,0.4736589999999957
96.3,200.0,0.004,0.88,55.0,0.4747109999999958
104.0,205.0,0.015,0.4,5.2,0.4141039999999971
98.0,190.0,0.011,0.69,4.9,0.3913989999999978
111.5,420.0,0.022,0.23,4.6,0.28565400000000185
102.0,270.0,0.014,1.02,9.6,0.5008979999999943
133.9,155.0,0.011,0.45,10.6,0.4653409999999955
133.0,490.0,0.026,0.32,3.8,0.27124200000000237
126.9,210.0,0.006,0.74,5.2,0.4262939999999959
104.0,520.0,0.007,0.63,10.8,0.46649499999999533
128.4,135.0,0.014,0.72,19.7,0.4736589999999957
94.8,300.0,0.009,0.49,33.2,0.4710659999999959
154.2,240.0,0.018,0.74,12.7,0.47435299999999575
122.0,410.0,0.035,1.3,54.7,0.501365999999996
111.6,510.0,0.005,0.59,27.3,0.4734189999999957
160.9,740.0,0.393,0.34,3.5,0.28445800000000143
161.8,170.0,0.728,0.43,3.5,0.28010300000000193
102.7,195.0,0.679,0.37,5.6,0.48053599999999824
149.8,290.0,0.013,0.5,4.9,0.3829729999999984
96.0,135.0,0.002,1.09,24.9,0.4924649999999959
100.0,260.0,0.007,0.43,17.5,0.46728799999999626
138.0,220.0,0.016,0.44,9.2,0.4747989999999946
130.0,200.0,0.018,0.37,3.1,0.28633200000000114
103.0,300.0,0.063,0.21,11.5,0.4447729999999968
138.7,245.0,0.054,0.68,7.2,0.4675599999999947
112.0,230.0,0.006,0.59,3.8,0.32360600000000006
118.1,410.0,0.014,1.09,101.0,0.4924649999999959
116.1,405.0,0.023,0.37,4.0,0.2833650000000023
97.6,340.0,0.892,0.89,8.2,0.6009269999999984
111.0,240.0,0.013,0.41,8.5,0.47119899999999454
