"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)",Phosphorus
134.0,280.0,0.04,0.51,3.5,0.31
135.4,155.0,0.002,0.43,9.2,0.47
125.0,105.0,0.002,0.4,2.3,0.21
125.8,300.0,0.33,0.67,4.1,0.33
122.0,160.0,0.004,0.52,2.1,0.26
135.9,190.0,0.036,0.34,3.9,0.28
102.3,410.0,0.037,1.56,4.7,0.42
147.0,210.0,0.131,0.49,7.9,0.46
96.0,130.0,0.14,0.77,37.8,0.47
127.5,320.0,0.839,0.39,4.4,0.33
139.4,90.0,0.164,0.61,4.2,0.34
114.4,200.0,0.003,0.68,28.7,0.47
116.0,205.0,0.021,1.19,6.3,0.49
97.9,235.0,0.002,0.4,1.7,0.2
143.5,140.0,0.004,0.56,10.0,0.48
109.2,220.0,0.005,0.66,44.5,0.47
106.0,315.0,0.093,0.28,4.1,0.27
122.3,205.0,0.038,0.71,28.6,0.47
115.8,240.0,0.006,0.42,4.6,0.31
114.0,150.0,0.011,0.47,2.8,0.28
124.9,150.0,0.023,0.7,32.6,0.47
102.2,210.0,0.194,0.41,10.5,0.47
144.9,275.0,0.066,0.85,7.3,0.47
162.0,165.0,0.306,0.38,7.3,0.45
60.8,280.0,0.156,0.61,23.1,0.47
115.2,190.0,0.0008,0.53,2.6,0.29
107.6,370.0,0.006,0.81,98.0,0.47
97.6,260.0,0.2,0.63,10.0,0.48
132.9,300.0,0.019,1.76,34.0,0.51
162.4,110.0,0.124,0.34,3.4,0.29
108.2,310.0,0.017,0.9,54.1,0.49
141.0,140.0,0.036,0.33,3.6,0.29
141.3,90.0,0.018,0.27,2.3,0.18
117.1,250.0,0.01,0.39,6.8,0.46
122.6,170.0,0.029,0.48,3.8,0.29
99.2,425.0,0.008,0.45,10.8,0.46
117.0,320.0,0.038,0.79,20.1,0.47
149.8,310.0,0.083,0.25,6.4,0.45
-99.0,115.0,0.052,0.75,5.6,0.48
106.0,240.0,0.085,0.29,5.6,0.43
126.0,240.0,0.072,0.79,14.8,0.47
119.1,205.0,0.126,0.31,5.4,0.43
149.3,295.0,0.019,0.51,4.9,0.38
132.8,240.0,0.013,0.26,9.8,0.47
103.0,260.0,0.016,0.55,3.3,0.33
121.8,280.0,0.037,0.38,5.8,0.44
138.2,250.0,0.009,0.27,1.6,0.17
130.5,240.0,0.017,0.58,9.6,0.48
113.0,220.0,0.017,0.41,5.1,0.38
142.3,100.0,0.017,1.56,13.4,0.51
